,Importance score,Feature
0,0.1522830399381663,odor
1,0.10548454435023337,gill_size
2,0.10171477478872035,gill_color
3,0.10070300678133833,spore_print_color
4,0.08221885567582286,ring_type
5,0.05442542008834844,stalk_root
6,0.0525908515982156,population
7,0.052446926438851876,gill_spacing
8,0.051231521493581726,stalk_surface_below_ring
9,0.04957003762064024,bruises
10,0.04628942828831537,stalk_surface_above_ring
11,0.037772199032309585,habitat
12,0.02864227869894102,stalk_shape
13,0.023977982526642364,stalk_color_above_ring
14,0.016952588970309504,stalk_color_below_ring
15,0.013226570924077627,ring_number
16,0.011681018243977173,cap_color
17,0.008532961786219333,cap_surface
18,0.004728613964602275,cap_shape
19,0.0035080424657842582,gill_attachment
20,0.0020193363249024986,veil_color
21,0.0,veil_type
